"가구유형별","가구주의 연령별",2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020
"가구유형별","가구주의 연령별",계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인
"계","합계",17879317,4379916,18118513,4563342,18388488,4756220,18704975,4964662,19012895,5137971,19281443,5332365,19570670,5544152,19876352,5771150,20220447,6046695,20730614,6476735
"계","19세이하",82446,61529,77624,60779,72731,59889,68486,59467,64924,58723,66128,61079,66170,61598,63307,59128,62852,58985,74138,70555
"계","20~24세",414381,301149,422167,314310,433209,329902,446478,347293,460138,362470,474359,383388,481394,392874,488068,399454,509845,421895,561382,471970
"계","25~29세",935524,516042,887506,505349,847197,498377,830895,505444,836017,521050,828952,531765,857951,558014,911921,600894,982631,662792,1076530,744751
"계","30~34세",1541247,475911,1565943,503976,1571784,526538,1552387,540628,1477812,527872,1420633,524119,1348693,517732,1294339,520541,1277648,543927,1314924,597053
"계","35~39세",1960391,386495,1893449,389187,1833693,392915,1794499,400828,1819688,418322,1820785,426086,1854750,444049,1881495,464023,1860642,477233,1808163,491606
"1인 가구","합계",4379916,4379916,4563342,4563342,4756220,4756220,4964662,4964662,5137971,5137971,5332365,5332365,5544152,5544152,5771150,5771150,6046695,6046695,6476735,6476735
"1인 가구","19세이하",61529,61529,60779,60779,59889,59889,59467,59467,58723,58723,61079,61079,61598,61598,59128,59128,58985,58985,70555,70555
"1인 가구","20~24세",301149,301149,314310,314310,329902,329902,347293,347293,362470,362470,383388,383388,392874,392874,399454,399454,421895,421895,471970,471970
"1인 가구","25~29세",516042,516042,505349,505349,498377,498377,505444,505444,521050,521050,531765,531765,558014,558014,600894,600894,662792,662792,744751,744751
"1인 가구","30~34세",475911,475911,503976,503976,526538,526538,540628,540628,527872,527872,524119,524119,517732,517732,520541,520541,543927,543927,597053,597053
"1인 가구","35~39세",386495,386495,389187,389187,392915,392915,400828,400828,418322,418322,426086,426086,444049,444049,464023,464023,477233,477233,491606,491606
